,artist,relative
1390,Tea Leaf Green,Umphrey's McGee
1391,Tea Leaf Green,Leftover Salmon
1392,Tea Leaf Green,New Monsoon
1393,Tea Leaf Green,Keller & The Keels
1394,Tea Leaf Green,Phil Lesh & Friends
1395,Tea Leaf Green,Mike Gordon
1396,Tea Leaf Green,Railroad Earth
1397,Tea Leaf Green,Particle
1398,Tea Leaf Green,Phish
1399,Tea Leaf Green,Lotus 
1420,The Big Wu,Tea Leaf Green
1421,The Big Wu,Ekoostik Hookah
1422,The Big Wu,Strangefolk
1423,The Big Wu,moe.
1424,The Big Wu,The String Cheese Incident
1425,The Big Wu,Keller Williams
1426,The Big Wu,Leftover Salmon
1427,The Big Wu,Assembly of Dust
1428,The Big Wu,New Monsoon
1429,The Big Wu,Widespread Panic
1430,The Big Wu,Phil Lesh & Friends
1431,The Big Wu,Trey Anastasio
1432,The Big Wu,The Disco Biscuits
1433,The Big Wu,Mike Gordon
1434,The Big Wu,Umphrey's McGee
1435,The Big Wu,Keller & The Keels
1436,The Big Wu,Addison Groove Project
1437,The Big Wu,Vida Blue
1438,The Big Wu,Particle
1439,The Big Wu,Railroad Earth
1480,Assembly of Dust,Tea Leaf Green
1481,Assembly of Dust,Ekoostik Hookah
1482,Assembly of Dust,moe.
1483,Assembly of Dust,Strangefolk
1484,Assembly of Dust,The Big Wu
1485,Assembly of Dust,Keller Williams
1486,Assembly of Dust,The String Cheese Incident
1487,Assembly of Dust,New Monsoon
1488,Assembly of Dust,Widespread Panic
1489,Assembly of Dust,Leftover Salmon
1490,Assembly of Dust,Mike Gordon
1491,Assembly of Dust,Keller & The Keels
1492,Assembly of Dust,Phil Lesh & Friends
1493,Assembly of Dust,Trey Anastasio
1494,Assembly of Dust,Railroad Earth
1495,Assembly of Dust,Umphrey's McGee
1496,Assembly of Dust,The Disco Biscuits
1497,Assembly of Dust,Particle
1498,Assembly of Dust,Addison Groove Project
1499,Assembly of Dust,Yonder Mountain String Band
1520,Keller & The Keels,Leftover Salmon
1521,Keller & The Keels,Railroad Earth
1522,Keller & The Keels,The String Cheese Incident
1523,Keller & The Keels,Ekoostik Hookah
1524,Keller & The Keels,Strangefolk
1525,Keller & The Keels,Keller Williams
1526,Keller & The Keels,Tea Leaf Green
1527,Keller & The Keels,Assembly of Dust
1528,Keller & The Keels,moe.
1529,Keller & The Keels,Yonder Mountain String Band
1530,Keller & The Keels,The Big Wu
1531,Keller & The Keels,Trey Anastasio
1532,Keller & The Keels,Widespread Panic
1533,Keller & The Keels,The Disco Biscuits
1534,Keller & The Keels,Mike Gordon
1535,Keller & The Keels,Phil Lesh & Friends
1536,Keller & The Keels,Umphrey's McGee
1537,Keller & The Keels,Emmitt-Nershi Band
1538,Keller & The Keels,Old & In The Way
1539,Keller & The Keels,New Monsoon
1540,Mike Gordon,Trey Anastasio
1541,Mike Gordon,Tea Leaf Green
1542,Mike Gordon,moe.
1543,Mike Gordon,Ekoostik Hookah
1544,Mike Gordon,The String Cheese Incident
1545,Mike Gordon,Assembly of Dust
1546,Mike Gordon,Keller Williams
1547,Mike Gordon,Vida Blue
1548,Mike Gordon,Page McConnell
1549,Mike Gordon,Strangefolk
1550,Mike Gordon,The Big Wu
1551,Mike Gordon,Keller & The Keels
1552,Mike Gordon,Phil Lesh & Friends
1553,Mike Gordon,The Disco Biscuits
1554,Mike Gordon,Umphrey's McGee
1555,Mike Gordon,Addison Groove Project
1556,Mike Gordon,Leftover Salmon
1557,Mike Gordon,Phish
1558,Mike Gordon,Particle
1559,Mike Gordon,New Monsoon
1560,New Monsoon,Ekoostik Hookah
1561,New Monsoon,Strangefolk
1562,New Monsoon,Tea Leaf Green
1563,New Monsoon,The Big Wu
1564,New Monsoon,moe.
1565,New Monsoon,The String Cheese Incident
1566,New Monsoon,Keller Williams
1567,New Monsoon,Leftover Salmon
1568,New Monsoon,Assembly of Dust
1569,New Monsoon,Phil Lesh & Friends
1570,New Monsoon,Particle
1571,New Monsoon,Keller & The Keels
1572,New Monsoon,Widespread Panic
1573,New Monsoon,Addison Groove Project
1574,New Monsoon,The Disco Biscuits
1575,New Monsoon,Mike Gordon
1576,New Monsoon,Trey Anastasio
1577,New Monsoon,Steve Kimock Band
1578,New Monsoon,Umphrey's McGee
1579,New Monsoon,Railroad Earth
1580,The Disco Biscuits,The String Cheese Incident
1581,The Disco Biscuits,Umphrey's McGee
1582,The Disco Biscuits,moe.
1583,The Disco Biscuits,Perpetual Groove
1584,The Disco Biscuits,Tea Leaf Green
1585,The Disco Biscuits,Lotus 
1586,The Disco Biscuits,Keller Williams
1587,The Disco Biscuits,Twiddle
1588,The Disco Biscuits,Trey Anastasio
1589,The Disco Biscuits,Ekoostik Hookah
1590,The Disco Biscuits,Particle
1591,The Disco Biscuits,The New Deal
1592,The Disco Biscuits,Brothers Past
1593,The Disco Biscuits,Vida Blue
1594,The Disco Biscuits,The Pnuma Trio
1595,The Disco Biscuits,Widespread Panic
1596,The Disco Biscuits,Phish
1597,The Disco Biscuits,The Big Wu
1598,The Disco Biscuits,Strangefolk
1599,The Disco Biscuits,Leftover Salmon
2120,Spafford,Twiddle
2121,Spafford,The Magic Beans
2122,Spafford,Lotus 
2123,Spafford,Perpetual Groove
2124,Spafford,Keller Williams
2125,Spafford,moe.
2126,Spafford,The String Cheese Incident
2127,Spafford,Railroad Earth
2128,Spafford,STS9
2129,Spafford,Leftover Salmon
2130,Spafford,Tea Leaf Green
2131,Spafford,The Disco Biscuits
2132,Spafford,Trey Anastasio
2133,Spafford,Umphrey's McGee
2134,Spafford,Strangefolk
2135,Spafford,Ekoostik Hookah
2136,Spafford,Jerry Garcia Band
2137,Spafford,Assembly of Dust
2138,Spafford,Keller & The Keels
2139,Spafford,Widespread Panic
2160,The Magic Beans,Spafford
2161,The Magic Beans,The Werks
2162,The Magic Beans,Mungion
2163,The Magic Beans,Space Bacon
2164,The Magic Beans,The Disco Biscuits
2165,The Magic Beans,Kyle Hollingsworth
2166,The Magic Beans,Keller Williams
2167,The Magic Beans,Aqueous
2168,The Magic Beans,The Heavy Pets
2169,The Magic Beans,Particle
2170,The Magic Beans,Dopapod
2171,The Magic Beans,moe.
2172,The Magic Beans,Lotus 
2173,The Magic Beans,Tea Leaf Green
2174,The Magic Beans,The String Cheese Incident
2175,The Magic Beans,Cbdb
2176,The Magic Beans,KIMOCK
2177,The Magic Beans,Umphrey's McGee
2178,The Magic Beans,Kung Fu
2179,The Magic Beans,The Big Wu
2300,STS9,Lotus 
2301,STS9,Perpetual Groove
2302,STS9,Twiddle
2303,STS9,The Motet
2304,STS9,The Disco Biscuits
2305,STS9,Zoogma
2306,STS9,Papadosio
2307,STS9,The String Cheese Incident
2308,STS9,Umphrey's McGee
2309,STS9,Keller Williams
2310,STS9,The New Deal
2311,STS9,moe.
2312,STS9,Dopapod
2313,STS9,Spafford
2314,STS9,Pigeons Playing Ping Pong
2315,STS9,EOTO
2316,STS9,Tea Leaf Green
2317,STS9,BoomBox
2318,STS9,Break Science
2319,STS9,The Floozies
3100,The Motet,Perpetual Groove
3101,The Motet,Lotus 
3102,The Motet,STS9
3103,The Motet,Pigeons Playing Ping Pong
3104,The Motet,SunSquabi
3105,The Motet,Lettuce
3106,The Motet,Dopapod
3107,The Motet,Galactic
3108,The Motet,Twiddle
3109,The Motet,Turkuaz
3110,The Motet,Umphrey's McGee
3111,The Motet,Spafford
3112,The Motet,Keller Williams
3113,The Motet,Orgone
3114,The Motet,The String Cheese Incident
3115,The Motet,The New Mastersounds
3116,The Motet,Dumpstaphunk
3117,The Motet,The Disco Biscuits
3118,The Motet,moe.
3119,The Motet,Cory Wong
3160,Papadosio,Lotus 
3161,Papadosio,Zoogma
3162,Papadosio,The Disco Biscuits
3163,Papadosio,STS9
3164,Papadosio,Twiddle
3165,Papadosio,Perpetual Groove
3166,Papadosio,The String Cheese Incident
3167,Papadosio,Umphrey's McGee
3168,Papadosio,EOTO
3169,Papadosio,Keller Williams
3170,Papadosio,moe.
3171,Papadosio,Tea Leaf Green
3172,Papadosio,Pigeons Playing Ping Pong
3173,Papadosio,Dopapod
3174,Papadosio,The New Deal
3175,Papadosio,The Floozies
3176,Papadosio,BoomBox
3177,Papadosio,Spafford
3178,Papadosio,Ekoostik Hookah
3179,Papadosio,Toubab Krewe
3260,Dopapod,Lotus 
3261,Dopapod,Zoogma
3262,Dopapod,Twiddle
3263,Dopapod,Perpetual Groove
3264,Dopapod,STS9
3265,Dopapod,The Disco Biscuits
3266,Dopapod,Umphrey's McGee
3267,Dopapod,Pigeons Playing Ping Pong
3268,Dopapod,Papadosio
3269,Dopapod,The Heavy Pets
3270,Dopapod,Spafford
3271,Dopapod,moe.
3272,Dopapod,Keller Williams
3273,Dopapod,The String Cheese Incident
3274,Dopapod,Kung Fu
3275,Dopapod,The Motet
3276,Dopapod,Tea Leaf Green
3277,Dopapod,Particle
3278,Dopapod,Trey Anastasio
3279,Dopapod,Jimkata
3280,Pigeons Playing Ping Pong,Umphrey's McGee
3281,Pigeons Playing Ping Pong,The Disco Biscuits
3282,Pigeons Playing Ping Pong,Zoogma
3283,Pigeons Playing Ping Pong,Lotus 
3284,Pigeons Playing Ping Pong,Perpetual Groove
3285,Pigeons Playing Ping Pong,The String Cheese Incident
3286,Pigeons Playing Ping Pong,Dopapod
3287,Pigeons Playing Ping Pong,The Motet
3288,Pigeons Playing Ping Pong,moe.
3289,Pigeons Playing Ping Pong,Twiddle
3290,Pigeons Playing Ping Pong,Papadosio
3291,Pigeons Playing Ping Pong,Keller Williams
3292,Pigeons Playing Ping Pong,The Floozies
3293,Pigeons Playing Ping Pong,Tea Leaf Green
3294,Pigeons Playing Ping Pong,Zach Deputy
3295,Pigeons Playing Ping Pong,Lettuce
3296,Pigeons Playing Ping Pong,Trey Anastasio
3297,Pigeons Playing Ping Pong,STS9
3298,Pigeons Playing Ping Pong,Phish
3299,Pigeons Playing Ping Pong,EOTO
3320,The New Deal,The Pnuma Trio
3321,The New Deal,Future Rock
3322,The New Deal,The Disco Biscuits
3323,The New Deal,Zoogma
3324,The New Deal,EOTO
3325,The New Deal,Particle
3326,The New Deal,Brothers Past
3327,The New Deal,Umphrey's McGee
3328,The New Deal,Lotus 
3329,The New Deal,The String Cheese Incident
3330,The New Deal,Papadosio
3331,The New Deal,The Malah
3332,The New Deal,Toubab Krewe
3333,The New Deal,Conspirator
3334,The New Deal,Keller Williams
3335,The New Deal,STS9
3336,The New Deal,moe.
3337,The New Deal,Vida Blue
3338,The New Deal,Tea Leaf Green
3339,The New Deal,BoomBox
3360,BoomBox,Zoogma
3361,BoomBox,Lotus 
3362,BoomBox,Papadosio
3363,BoomBox,The Disco Biscuits
3364,BoomBox,STS9
3365,BoomBox,Perpetual Groove
3366,BoomBox,Umphrey's McGee
3367,BoomBox,The Floozies
3368,BoomBox,The String Cheese Incident
3369,BoomBox,Pretty Lights
3370,BoomBox,Michal Menert
3371,BoomBox,Break Science
3372,BoomBox,Pigeons Playing Ping Pong
3373,BoomBox,Keller Williams
3374,BoomBox,EOTO
3375,BoomBox,The New Deal
3376,BoomBox,Big Gigantic
3377,BoomBox,The Motet
3378,BoomBox,moe.
3379,BoomBox,Twiddle
3380,Zoogma,Future Rock
3381,Zoogma,Papadosio
3382,Zoogma,Conspirator
3383,Zoogma,The New Deal
3384,Zoogma,The Pnuma Trio
3385,Zoogma,The Disco Biscuits
3386,Zoogma,The Floozies
3387,Zoogma,EOTO
3388,Zoogma,The Werks
3389,Zoogma,Particle
3390,Zoogma,BoomBox
3391,Zoogma,Pigeons Playing Ping Pong
3392,Zoogma,The Malah
3393,Zoogma,Break Science
3394,Zoogma,STS9
3395,Zoogma,Dopapod
3396,Zoogma,Pretty Lights
3397,Zoogma,Umphrey's McGee
3398,Zoogma,Big Gigantic
3399,Zoogma,Lotus 
3400,Lettuce,Galactic
3401,Lettuce,Soulive
3402,Lettuce,The Greyboy Allstars
3403,Lettuce,Karl Denson
3404,Lettuce,Dumpstaphunk
3405,Lettuce,Stanton Moore
3406,Lettuce,The New Mastersounds
3407,Lettuce,Medeski Scofield Martin & Wood
3408,Lettuce,The Motet
3409,Lettuce,Charlie Hunter
3410,Lettuce,"Medeski, Martin & Wood"
3411,Lettuce,Orgone
3412,Lettuce,Addison Groove Project
3413,Lettuce,Umphrey's McGee
3414,Lettuce,Papa Grows Funk
3415,Lettuce,Keller Williams
3416,Lettuce,Trey Anastasio
3417,Lettuce,The String Cheese Incident
3418,Lettuce,Pigeons Playing Ping Pong
3419,Lettuce,Dopapod
3420,EOTO,Zoogma
3421,EOTO,The Pnuma Trio
3422,EOTO,The Disco Biscuits
3423,EOTO,The New Deal
3424,EOTO,Papadosio
3425,EOTO,The String Cheese Incident
3426,EOTO,Future Rock
3427,EOTO,Particle
3428,EOTO,Lotus 
3429,EOTO,Umphrey's McGee
3430,EOTO,Keller Williams
3431,EOTO,moe.
3432,EOTO,The Floozies
3433,EOTO,STS9
3434,EOTO,Break Science
3435,EOTO,BoomBox
3436,EOTO,Toubab Krewe
3437,EOTO,Pigeons Playing Ping Pong
3438,EOTO,VibeSquaD
3439,EOTO,Dopapod
3720,The Pnuma Trio,Future Rock
3721,The Pnuma Trio,The Disco Biscuits
3722,The Pnuma Trio,The New Deal
3723,The Pnuma Trio,Zoogma
3724,The Pnuma Trio,EOTO
3725,The Pnuma Trio,Brothers Past
3726,The Pnuma Trio,Particle
3727,The Pnuma Trio,The String Cheese Incident
3728,The Pnuma Trio,The Malah
3729,The Pnuma Trio,Umphrey's McGee
3730,The Pnuma Trio,Addison Groove Project
3731,The Pnuma Trio,moe.
3732,The Pnuma Trio,Vida Blue
3733,The Pnuma Trio,Keller Williams
3734,The Pnuma Trio,Toubab Krewe
3735,The Pnuma Trio,Papadosio
3736,The Pnuma Trio,Tea Leaf Green
3737,The Pnuma Trio,Lotus 
3738,The Pnuma Trio,30db
3739,The Pnuma Trio,Trey Anastasio
3820,Future Rock,The Pnuma Trio
3821,Future Rock,Zoogma
3822,Future Rock,The New Deal
3823,Future Rock,The Disco Biscuits
3824,Future Rock,EOTO
3825,Future Rock,Particle
3826,Future Rock,The Malah
3827,Future Rock,Brothers Past
3828,Future Rock,Umphrey's McGee
3829,Future Rock,The String Cheese Incident
3830,Future Rock,Lotus 
3831,Future Rock,Papadosio
3832,Future Rock,30db
3833,Future Rock,moe.
3834,Future Rock,Keller Williams
3835,Future Rock,Conspirator
3836,Future Rock,Eliot Lipp
3837,Future Rock,STS9
3838,Future Rock,Tea Leaf Green
3839,Future Rock,BoomBox
3840,Particle,The Disco Biscuits
3841,Particle,Tea Leaf Green
3842,Particle,The String Cheese Incident
3843,Particle,Ekoostik Hookah
3844,Particle,moe.
3845,Particle,Keller Williams
3846,Particle,Umphrey's McGee
3847,Particle,New Monsoon
3848,Particle,Addison Groove Project
3849,Particle,Strangefolk
3850,Particle,The Big Wu
3851,Particle,Keller & The Keels
3852,Particle,The New Deal
3853,Particle,Mike Gordon
3854,Particle,Trey Anastasio
3855,Particle,Lotus 
3856,Particle,Assembly of Dust
3857,Particle,Leftover Salmon
3858,Particle,Widespread Panic
3859,Particle,The Pnuma Trio
3940,The Floozies,Zoogma
3941,The Floozies,Pigeons Playing Ping Pong
3942,The Floozies,Papadosio
3943,The Floozies,Marvel Years
3944,The Floozies,Lotus 
3945,The Floozies,STS9
3946,The Floozies,EOTO
3947,The Floozies,The Disco Biscuits
3948,The Floozies,BoomBox
3949,The Floozies,Break Science
3950,The Floozies,Big Gigantic
3951,The Floozies,Pretty Lights
3952,The Floozies,SunSquabi
3953,The Floozies,Michal Menert
3954,The Floozies,Dopapod
3955,The Floozies,The String Cheese Incident
3956,The Floozies,Late Night Radio
3957,The Floozies,Umphrey's McGee
3958,The Floozies,Exmag
3959,The Floozies,Opiuo
3980,Break Science,Paul Basic
3981,Break Science,Archnemesis
3982,Break Science,Michal Menert
3983,Break Science,Big Gigantic
3984,Break Science,SuperVision
3985,Break Science,Paper Diamond
3986,Break Science,Eliot Lipp
3987,Break Science,Pretty Lights
3988,Break Science,Psymbionic
3989,Break Science,ill-esha
3990,Break Science,VibeSquaD
3991,Break Science,PANTyRAiD
3992,Break Science,Mimosa
3993,Break Science,Zoogma
3994,Break Science,Opiuo
3995,Break Science,ill.gates
3996,Break Science,An-Ten-Nae
3997,Break Science,Freddy Todd
3998,Break Science,GRiZ
3999,Break Science,Marvel Years
4020,Toubab Krewe,Keller Williams
4021,Toubab Krewe,Tea Leaf Green
4022,Toubab Krewe,The String Cheese Incident
4023,Toubab Krewe,The Disco Biscuits
4024,Toubab Krewe,Umphrey's McGee
4025,Toubab Krewe,moe.
4026,Toubab Krewe,Keller & The Keels
4027,Toubab Krewe,Leftover Salmon
4028,Toubab Krewe,Lotus 
4029,Toubab Krewe,Trey Anastasio
4030,Toubab Krewe,Ekoostik Hookah
4031,Toubab Krewe,Particle
4032,Toubab Krewe,Perpetual Groove
4033,Toubab Krewe,Railroad Earth
4034,Toubab Krewe,Yonder Mountain String Band
4035,Toubab Krewe,Galactic
4036,Toubab Krewe,Papadosio
4037,Toubab Krewe,Widespread Panic
4038,Toubab Krewe,Mike Gordon
4039,Toubab Krewe,Spafford
4060,VibeSquaD,Heyoka
4061,VibeSquaD,ill.gates
4062,VibeSquaD,An-Ten-Nae
4063,VibeSquaD,ill-esha
4064,VibeSquaD,Opiuo
4065,VibeSquaD,Spoonbill
4066,VibeSquaD,Love & Light
4067,VibeSquaD,PANTyRAiD
4068,VibeSquaD,Freddy Todd
4069,VibeSquaD,Eliot Lipp
4070,VibeSquaD,Eprom
4071,VibeSquaD,KnowSleep
4072,VibeSquaD,Tipper
4073,VibeSquaD,Psymbionic
4074,VibeSquaD,BreakBeatBuddha
4075,VibeSquaD,Break Science
4076,VibeSquaD,Nanda
4077,VibeSquaD,MartyParty
4078,VibeSquaD,R/D
4079,VibeSquaD,Bird of Prey
4660,The Heavy Pets,Kyle Hollingsworth
4661,The Heavy Pets,Strangefolk
4662,The Heavy Pets,Tea Leaf Green
4663,The Heavy Pets,Raq
4664,The Heavy Pets,Ekoostik Hookah
4665,The Heavy Pets,Addison Groove Project
4666,The Heavy Pets,The Big Wu
4667,The Heavy Pets,New Monsoon
4668,The Heavy Pets,Assembly of Dust
4669,The Heavy Pets,moe.
4670,The Heavy Pets,The Disco Biscuits
4671,The Heavy Pets,The String Cheese Incident
4672,The Heavy Pets,Umphrey's McGee
4673,The Heavy Pets,Mike Gordon
4674,The Heavy Pets,Vida Blue
4675,The Heavy Pets,Particle
4676,The Heavy Pets,McLovins
4677,The Heavy Pets,U-Melt
4678,The Heavy Pets,30db
4679,The Heavy Pets,The Werks
4760,Kung Fu,Section Z
4761,Kung Fu,The Werks
4762,Kung Fu,Spafford
4763,Kung Fu,Life Force
4764,Kung Fu,Dopapod
4765,Kung Fu,The Heavy Pets
4766,Kung Fu,Kyle Hollingsworth
4767,Kung Fu,Rygar
4768,Kung Fu,Shadowgate
4769,Kung Fu,Mister F
4770,Kung Fu,The Magic Beans
4771,Kung Fu,Octave Cat
4772,Kung Fu,Ikari Warriors
4773,Kung Fu,The Disco Biscuits
4774,Kung Fu,Addison Groove Project
4775,Kung Fu,Pigeons Playing Ping Pong
4776,Kung Fu,Particle
4777,Kung Fu,Mungion
4778,Kung Fu,Umphrey's McGee
4779,Kung Fu,moe.
4860,Jimkata,The Heavy Pets
4861,Jimkata,Zoogma
4862,Jimkata,The Mantras
4863,Jimkata,Dopapod
4864,Jimkata,Papadosio
4865,Jimkata,The Malah
4866,Jimkata,Umphrey's McGee
4867,Jimkata,Tea Leaf Green
4868,Jimkata,The Disco Biscuits
4869,Jimkata,moe.
4870,Jimkata,Lotus 
4871,Jimkata,The Werks
4872,Jimkata,The String Cheese Incident
4873,Jimkata,The New Deal
4874,Jimkata,Pigeons Playing Ping Pong
4875,Jimkata,STS9
4876,Jimkata,Strangefolk
4877,Jimkata,Toubab Krewe
4878,Jimkata,Keller Williams
4879,Jimkata,Twiddle
